FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,start,end
0,265.915386624082,1011.7649839066304,378.0222676727335,1071.0669561942475,383.88343533241857,940.7754036751328,499.3299730670468,1097.400756880783,504.69298264760187,921.0305752498452,614.9415715866188,1106.389712979039,610.518088272551,909.5210747084664,595.6369929815919,1052.2865554394748,605.4898555443098,951.1406241927754,791.1974565880506,1060.588382493915,787.7100295921296,936.0402014043558,987.5773449961011,1064.317394315452,983.0426947565164,936.105538171324,0,0
1,267.5935523190641,1010.5154115114908,380.6859156059196,1071.7884354657938,384.89905636394286,940.4683280008668,501.1126120657853,1100.401135065554,503.1487588671621,917.389405283483,612.9232094842838,1110.4799969944331,606.5419439000643,901.0804729475684,604.8315357262818,1052.617761077993,603.6965401677998,951.0135623166703,799.9457619001092,1062.6875730089894,776.3649198137737,942.0128085033408,974.0220277982198,1070.7392337302963,983.240770109298,933.2552405475784,0,0
2,268.2657754529747,1011.1816967943852,380.67427388403286,1071.9421344115226,384.6699373123705,941.2240154370064,502.6027966661788,1101.3915298091936,501.731422086996,915.0432201556472,612.9943938187101,1112.5549576511987,606.0589001594191,898.969663778357,594.1775614387502,1051.5371381211685,602.999978927394,952.574824347906,788.1894510217078,1061.7860241062408,784.9414065972416,934.847874021285,990.6298521560252,1065.651059007049,986.4181632648364,935.9617909607338,0,0
3,269.589448720023,1011.2375634702842,380.2954772730952,1072.605445071409,384.3744663392304,941.329323952904,498.1648184574162,1107.328742795968,498.6477359528659,913.9928035469812,604.9238168309662,1116.631320614223,604.1723627355846,891.2530786653025,592.9506469051921,1056.5308039859322,599.3428174478954,951.4999612756376,794.3011125879573,1061.5408376768005,782.7788107664904,937.7710653805366,991.1638016322498,1065.2516963602775,985.3872762017812,933.6757279283242,0,0
4,270.7909154240889,1011.1825437076296,378.80298629383736,1072.6910673950106,384.8938221429197,941.2211363355874,496.75914834472695,1107.0253743011228,492.6409369420323,913.832776632316,590.93004472234,1122.1110134419057,593.3934013307172,882.3157276431049,588.491189706155,1056.7913293663323,598.5457613068222,953.352828183479,790.5615549868818,1069.191695864283,783.7938933750743,935.3954266415722,990.9194674448476,1073.5496840522535,986.4209852975118,933.2967157525056,0,0
5,271.1413811273165,1010.8344912896868,378.6056609829628,1072.780573814779,382.0568917391359,942.430109364596,479.98194259226864,1108.5446690567096,492.8902776591645,908.6780132711328,587.4265802232125,1128.2165178527384,583.079566360295,878.2722769126921,587.9940418397186,1056.0432271515947,599.2223687537779,953.420744033354,790.7502896391989,1069.3892815987213,777.1313220099757,941.777327605506,998.0622363989622,1068.2876378381015,986.1016174534672,933.1824793314602,0,0
6,274.59846842583505,1011.8803995484208,377.5913387963303,1077.9385983637376,381.9443071004783,941.1457348220232,430.3198329990025,1125.3646122962566,446.7645540473055,875.6503670361005,466.4266454847953,1153.3164723527336,465.5738096646432,832.9534329113761,571.2936649892978,1053.7307315464848,603.8059498522774,961.2856223774168,791.2767574474002,1070.3238406100754,793.7318903820102,930.2222854647893,997.9446392034522,1068.6847816259874,988.0461467614564,934.6447359263066,0,0
7,275.37713749045975,1012.1822632418932,378.33720223336286,1080.5186889558747,382.4864230137342,942.657016863462,430.0711445504574,1135.2883020943357,424.47918836100047,873.8008565012801,441.850083925324,1170.859586672254,444.4852958947071,834.4282727938729,571.6754831976326,1052.2088055747297,603.7480948340287,959.6319842426152,792.1685412026195,1071.293482952132,791.2298945611723,930.7484600843532,997.6168005736192,1068.592175463383,985.279781802888,932.839681946294,0,0
8,275.4942793033833,1011.6782846107455,377.69882683326114,1077.101128302805,379.7026608917276,942.6338252979198,416.3582957829548,1130.5148010478135,413.6397568364137,862.5041545164402,420.1842381213204,1173.9358795048297,423.093847564975,818.5938977669654,571.2485847919597,1052.561097267706,603.2375198780948,958.355981965524,792.6874255513958,1071.1877701511987,790.5982186425337,930.7163957740172,997.621330290994,1068.542722187701,985.3223373055922,932.92864887089,0,0
9,275.63878827039224,1011.3005296873924,375.8360903904869,1076.302370047587,376.60775895236526,946.795200457212,404.9464228993429,1139.0839277795797,401.200042930474,887.7020878059561,385.83516625651146,1179.8923772157425,395.9345481733662,817.8453549420808,568.8499996597031,1042.7359241987308,587.6146559101397,974.4435369644334,792.9245861237008,1070.9944014931143,790.4487707835025,930.7144839968602,997.6719929430976,1068.4805847212815,985.3084039378072,932.9356777799384,0,0
10,276.7213210761934,1010.4763996872632,375.504781477473,1073.4199159553525,369.459893731364,943.4176949662904,389.0604603027026,1146.7924120564571,384.15807389158886,847.409779186375,354.68628145473366,1205.0676651617607,358.94628673133053,814.0944696856632,571.8917644783486,1054.6058384589112,619.0529249610454,956.8362240647676,792.9220520535432,1071.0364182112762,793.4832173361115,930.0765948607412,997.4621827828712,1068.3066466343396,985.3163061650428,932.9387970307048,0,0
11,276.5188653447383,1010.9764720235652,372.9647792920334,1071.0296281062008,370.3096724610645,948.1063277505936,378.5511195427109,1154.6307592791377,383.4567297946647,857.0873108582844,321.69851890931045,1192.90075477303,334.0218085647404,796.8866025096437,569.9142722934678,1050.1089383362848,619.1016964360548,955.9879250845256,792.5441889769079,1071.2256545515993,792.350948715706,930.5617315220886,997.4735131034304,1068.2900070425871,985.3404521570094,932.9702646674522,0,0
12,275.93786948989055,1010.1887175863408,364.2954225875001,1071.1838705832254,364.3673462489491,950.5322418100776,364.77623159460654,1151.1004508619008,365.2037313731656,862.4239890317897,297.6556965464578,1202.821384853164,313.0823989404348,800.6936006454928,584.4561463989734,1056.7998879661814,600.9653161375048,960.3340315976448,804.9043920787319,1066.7943676704,797.1068251551515,929.5972594542158,989.2078557405111,1064.7762309234868,988.1258462479892,937.3917888386296,0,0
13,275.92774593318546,1009.7205423975936,365.4351326951125,1069.793937285099,366.2842846040763,950.189687265008,354.89870604675053,1161.937742436484,343.883902670038,860.9659232784948,256.86413771154355,1205.1474539415526,280.5669453178177,798.2662410021354,594.9228124531719,1052.5529839868148,617.8267778810815,952.0242782693678,807.3884719431942,1062.716686913058,815.6943482943411,929.0446465441096,996.621697206336,1063.425745350924,987.5591750634816,937.428132785234,0,0
14,275.0378657441455,1009.4749900262904,362.98230546968654,1062.8378451177075,364.9528450339606,947.696930964496,349.6294768175936,1168.0369385124393,333.4816585188569,858.7594579826989,230.68371667353475,1202.9337828199623,264.7817428152335,796.1883020225822,583.3466388717274,1052.356379030383,616.9226130769529,949.6645756594668,800.1693373383719,1065.0413864102109,815.2925890164815,929.059207195924,989.8328683404214,1064.0043821762276,987.2520886534056,937.3922476113326,0,0
15,275.2932566877149,1009.0416482649332,368.3495732122652,1059.6216475061422,365.615659745989,946.9781929145046,345.19394059795087,1156.7243005667076,317.26109017321284,856.3643550382302,226.04216403241892,1188.202271135654,240.6728872986237,801.8339642840742,593.8109958683406,1053.553596849743,616.6782842469928,948.744047895063,809.8272297720295,1063.052594635436,813.7832997772256,929.5387249006936,997.3108892850044,1063.4181264951596,987.2713389477276,937.3562023378664,0,0
16,273.97809604054464,1008.8582380688604,364.5725644115353,1059.9799436054889,362.1275242283378,948.223938370872,301.63497825592793,1158.3442148717338,296.3575119593983,851.222674098635,185.07648162941007,1182.4728525849846,200.1123258010309,802.1699527289218,593.1628337607117,1053.6914533381073,616.4983813381318,948.4776929649336,809.9533516625899,1063.3603355973894,814.0951611750767,929.5827462268524,996.9028644784994,1063.2658311113728,987.2488718442086,937.3692390167216,0,0
17,275.04248519867696,1008.6113759754862,365.54529777893936,1059.873949621286,362.3831599400474,936.9222679390442,294.21560924911995,1150.4095869323596,275.8195885508206,836.0828910339939,172.10166271393257,1180.2815523504948,179.39664262788966,821.6826515842413,600.706270413839,1053.6957733356105,617.9748656194758,948.9629349438782,806.30119378297,1072.4872485405378,797.679111148353,927.9404038563098,996.8172157198306,1063.801546454167,981.277689443918,934.6756862665608,0,0
18,275.1321982469298,1008.1036242415676,365.3246917030126,1060.0325316037438,362.9134234960429,938.5490180918788,296.48306361720523,1144.576361976416,301.3934219023031,849.8896151619042,159.32385887994258,1176.651067348371,162.24417935732282,820.7596439582999,600.3610154091149,1053.5625449355082,617.726609784388,949.017048933154,807.4434352820189,1072.3974703551216,813.978470726658,929.5443532748928,996.780557421621,1063.779744324134,987.0984420664752,937.3793791042892,0,0
19,274.2204955216347,1006.9460868975592,364.8764452295589,1056.6600194702598,357.27719072557704,939.8217073842764,283.70261471355224,1140.2773435706167,273.7273680807245,854.4954711106839,142.27017294755993,1173.3788789921523,150.09522823735549,819.074723175744,587.0794126116252,1052.4856157043591,604.5840058246112,949.4303540321592,807.3032310198125,1072.2208576636838,798.041728283866,931.2911424489693,997.2278743788542,1063.682956401256,980.9190729783631,934.469521751656,0,0
20,273.9986491978401,1007.031021734794,360.5501881067402,1061.0673196695905,352.76201478836595,938.99165033681,310.62315098795995,1135.2282163240209,279.0398559768736,854.1454638635998,198.41296539505063,1162.0009615839974,132.08409690112845,827.71259787151,588.6257941019085,1053.3144228989197,615.687707918363,948.1314829112326,807.1671278796052,1072.8225979325002,812.8857145817908,927.925772235991,997.05470443547,1063.5591113155683,981.6280219644811,934.5351201939636,0,0
21,273.7347690522748,1007.4894345498628,365.58254807451146,1055.809554437081,350.3401207644856,939.2616669979278,285.92113956208345,1138.7635981484775,279.16807564089294,853.9648567552869,139.32248213511295,1168.610273889546,129.7922929582732,829.100490909215,599.7517295807638,1053.6678029998625,614.8759469378289,949.0295311495454,807.2746276359409,1072.9871412693449,813.6630479691087,928.5180424137384,997.0514283595686,1063.5844904600392,981.7313763999194,934.8852350710072,0,0
22,273.5137511229794,1008.08398244663,364.5634554204457,1053.806220509391,349.708059110009,940.3932480318068,279.5391240510581,1131.1563314400028,264.2374441000513,874.54012364171,122.02998202240823,1163.11202565683,125.73412893962488,829.8605477853702,583.7775433048005,1052.7724172576748,604.0897737460887,947.3784254720156,807.7892849628264,1071.644599460487,798.2078759598949,931.986184439004,1000.798886848519,1069.8688618634048,981.2730217724068,934.3018759812264,0,0
23,273.3305513781286,1008.625150592252,361.0259564304228,1055.4588610490048,349.2488151470924,938.4092390633612,269.3745293387821,1134.446233543379,262.41446188739434,858.4701809403128,127.8837637783492,1167.184876519735,128.1491640981369,832.6567953251287,596.7492073565062,1052.9599395908915,601.0952344455396,947.9339873168856,806.3651643214827,1072.046235453811,797.7396288153718,931.2381663101723,1000.771056275684,1069.8347660375816,981.3598297476304,934.4377736043264,0,0
24,275.2833681887861,1010.673625534024,354.69206414390135,1059.06370724938,349.0131037629007,947.5852945006832,263.23396303253764,1140.5757039089049,267.11420840497755,859.509899803683,112.63580530688108,1150.8954373148763,133.51728811065612,835.626544041462,584.619839027117,1056.9790629233446,577.0059868325183,955.7459594816256,807.6322843659528,1072.893531457367,780.9693862309846,935.167108517548,1005.9678271036928,1062.54266843999,960.9346604068196,928.3127601281586,0,0
25,274.8208558512912,1010.6872743582744,353.1249895331453,1059.161202502899,350.3594196106274,948.299956065955,260.51529952546554,1146.671070040017,270.2472017583363,878.0830274549677,116.39151419402718,1161.722876712034,129.13985293305277,836.9010213365632,586.3695033039941,1050.618205634572,588.9902916996315,951.071506587133,804.5678626731406,1072.7754183397146,789.635582714304,931.8276899058884,1008.4088230877144,1062.4927849808132,968.7804027899654,932.7425438897036,0,0
26,274.1306190713949,1010.8653508171626,353.9094148345669,1059.018595497193,349.3965941628802,942.310477991826,260.98390427925494,1144.4489718289344,268.9170332413811,879.2104862613945,117.51886836574045,1157.44996462562,127.64271102429056,845.4195283529604,586.9688470589944,1050.288975005812,589.7742328222148,952.5682014056116,805.9123402485146,1065.135239734972,792.567410810096,931.3355276989288,1009.8647619967962,1066.044948334032,968.6170240744502,932.7296619289154,0,0
27,271.0330403362666,1010.5629940439376,352.36114417623014,1059.3415418816876,349.78530940835896,949.9745598652188,271.54337060777044,1141.949506166838,259.3184228309264,878.0043391915125,116.68780050290113,1158.2170648735994,128.74158938622443,854.7413302273719,586.7940444351017,1052.1059658210302,587.6641707302534,956.2906625987326,805.6779451209019,1065.1632692671978,790.4472365459943,931.2256684538024,1009.7641270492414,1066.459081511039,962.230434144892,926.3156278723746,0,0
28,270.868996125979,1011.1475747337594,352.8444912715758,1059.8111179416271,347.26716223866794,952.415246788322,273.7136878520831,1140.4733357089658,259.5106612504381,879.4743545610708,140.3758128628774,1157.8642538660683,127.29152131297651,851.3920358942328,587.2360548458421,1050.9505238977974,588.3649871191216,956.3511761981368,794.2797410813668,1068.0562441879822,779.8182962464728,933.9483377987808,1009.9929135208477,1066.4805805954663,962.2421053327106,925.735046497432,0,0
29,270.2825443859373,1009.7335824398853,352.0315757622489,1059.709951161112,345.69940321467163,950.7413762391795,271.4354837762364,1138.5903556201497,259.5537056197426,877.7916785358595,136.60407712462663,1157.9020804153656,129.40175484308804,853.8057359503439,588.1405625262713,1054.0883065251023,589.0829044634716,951.0805787836954,808.8382406170408,1075.082637386056,793.0306942844267,930.3042968032468,1012.9548897017736,1066.8320287386343,966.3645411413574,931.6177717961432,0,0
30,270.02580905921747,1009.9287908975908,353.7092427128468,1059.5044398255247,346.1548581265969,951.5641689370608,271.7776836995495,1139.9596226206604,255.25658963405573,877.1461624717292,120.76491044618685,1148.315208149167,126.82137361583536,854.4865344606018,588.7010728615313,1053.7490770730965,587.8920629275635,956.5881679515292,806.7616940660811,1064.6593969206351,785.2123203110167,932.8546330930554,1010.2807158177478,1066.3359931985042,966.3381869623968,931.4023968474468,0,0
31,268.9781023063957,1009.5681578827464,346.6460444992323,1063.7744660836472,345.3132950345003,952.373008756056,282.47726053503305,1138.5610237654128,254.9897649043248,879.0572965399122,134.69369092130225,1159.3737963382853,131.93184944371097,856.9928501810247,587.135983183108,1048.1748097999232,577.7935355227387,957.3726383296118,804.5065279961872,1067.409803851574,784.1686792708497,932.4449006360212,1010.3826572278076,1066.2118339678718,966.0032410158136,931.6061820675573,0,0
